Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D4.0mm_P2.00mm,1,100u,
"C10, C6, C9",CP_Radial_D4.0mm_P2.00mm,3,10u,
"C11, C12",C_Disc_D3.4mm_W2.1mm_P2.50mm,2,22n,
"C13, C14",C_Disc_D3.4mm_W2.1mm_P2.50mm,2,1u,
"C15, C16, C17, C18, C19, C2, C20, C3, C4, C5, C7, C8",C_Disc_D3.4mm_W2.1mm_P2.50mm,12,100n,
"D1, D2, D3, D4, D5",LED_D3.0mm_FlatTop,5,LED,
D6,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
J1,Eurorack_mini_bus,1,Eurorack_bus_mini,
J10,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Jack 4,
"J11, J27, J28, J57, J8",PinHeader_1x08_P2.54mm_Vertical,5,Conn_01x08,
J12,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Jack 5,
J13,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Jack 6,
J14,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Jack 7,
J15,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Jack 8,
"J16, J29, J46, J53, J56",PinHeader_1x04_P2.54mm_Vertical,5,Conn_01x04,
J17,din-5,1,MIDI_in,
"J18, J19, J20, J22, J24, J26, J32, J34, J36, J40, J41, J43, J44",PinHeader_1x03_P2.54mm_Vertical,13,Conn_01x03,
"J2, J3, J4, J5",PinHeader_1x07_P2.54mm_Vertical,4,Conn_01x07,
J21,din-5,1,MIDI_out,
"J23, J25, J31, J33, J35, J39, J42",PinHeader_1x05_P2.54mm_Vertical,7,Conn_01x05,
"J30, J37, J38, J47, J48, J49, J50, J51",MountingHole_3.2mm_M3_Pad_Via,8,Screw_Terminal_01x01,
J45,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J52, J54",0.91 inches 128x32 Screen,2,Conn_01x04,
J55,PinHeader_2x05_P2.54mm_Vertical,1,Jumpers,
J58,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J59,Jack Stereo vertical Thonk,1,AudioJack3_Ground,
J6,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Jack 1,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Jack 2,
J9,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Jack 3,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2.2k,
"R10, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,120,
"R11, R13, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,220,
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,270,
"R14, R15, R16, R17",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,10k,
"R18, R19, R20, R21, R4, R5, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,1k,
"R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4.7k,
"RV1, RV11, RV2, RV9",trimmer_alps-rk09k1130ah1,4,100k,
RV10,trimmer_alps-rk09k1130ah1,1,1k,
RV3,trimmer_alps-rk09k1130ah1,1,1M,
"RV4, RV5",trimmer_alps-rk09k1130ah1,2,1M LOG,
RV6,trimmer_alps-rk09k1130ah1,1,10k,
"SW1, SW2, SW3, SW4, SW5, SW6",SW_PUSH_6mm_H5mm,6,SW_Push,
"SW10, SW11, SW12, SW7, SW8, SW9",SPDT_8.5x3.7mm_SS12d00G4,6,SW_SPDT,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_THTPad_D3.0mm_Drill1.5mm,8,TestPoint,
U1,TO-220-3_Horizontal_TabDown,1,LM1117IMP-5,
"U2, U3, U6",DIP-14_W7.62mm_Socket_LongPads,3,TL074,
U4,DIP-8_W7.62mm_LongPads,1,CD40107BE,
U5,DIP-8_W7.62mm,1,6N139,
U7,DIP-8_W7.62mm_Socket_LongPads,1,TL072,
U8,DIP-14_W7.62mm,1,TL074,
